borrower_id,kaggle_truth_label,agent_name,precommit_decision,precommit_confidence,precommit_reason,precommit_parse_mode,round1_decision,round1_confidence,round1_reason,round1_parse_mode,round2_decision,round2_confidence,round2_reason,round2_parse_mode,final_round_used,final_decision,final_confidence,final_reason,borda_winner,borda_scores,consensagent_winner,consensagent_scores,sycophancy_flagged,sycophancy_cosine_sim,sycophancy_similar_to,disagreement_exists
B001,good,RouterManager,approve,high,one short,repaired,approve,high,one short sentence 3. **Analyze Raw Data/Input:** *,repaired,approve,high,one short sentence 3. **Analyze Raw Data/Input:** *,repaired,round1,approve,high,one short sentence 3. **Analyze Raw Data/Input:** *,approve,"{""approve"": 10, ""refer"": 9, ""reject"": 2}",approve,"{""approve"": 1.114, ""refer"": 0.329, ""reject"": 0.6}",False,0.0,,True
B001,good,IncomeAgent,approve,high,one short sentence 3. **Analyze the Raw Data,repaired,approve,high,"one short sentence 3. **Analyze the Raw Response Content:** The raw response is incomplete (it ends with """,repaired,approve,high,"one short sentence 3. **Analyze the Raw Response Content:** The raw response is incomplete (it ends with """,repaired,round1,approve,high,"one short sentence 3. **Analyze the Raw Response Content:** The raw response is incomplete (it ends with """,approve,"{""approve"": 10, ""refer"": 9, ""reject"": 2}",approve,"{""approve"": 1.114, ""refer"": 0.329, ""reject"": 0.6}",False,0.0,,True
B001,good,FraudAgent,approve,high,"one short sentence * Constraints: No markdown, no bullet points, no extra",repaired,approve,high,one short sentence 2. **Analyze the,repaired,approve,high,one short sentence 2. **Analyze the,repaired,round1,approve,high,one short sentence 2. **Analyze the,approve,"{""approve"": 10, ""refer"": 9, ""reject"": 2}",approve,"{""approve"": 1.114, ""refer"": 0.329, ""reject"": 0.6}",False,0.0,,True
B001,good,CreditAgent,approve,high,one short sentence 3. **Analyze the,repaired,approve,high,one short sentence 3.,repaired,approve,high,one short sentence 3.,repaired,round1,approve,high,one short sentence 3.,approve,"{""approve"": 10, ""refer"": 9, ""reject"": 2}",approve,"{""approve"": 1.114, ""refer"": 0.329, ""reject"": 0.6}",False,0.0,,True
B001,good,ComplianceAgent,approve,high,one short sentence 3. **Analyze,repaired,refer,low,"Thinking Process:

1.  **Analyze Role:** I am the Compliance Agent. My goal is to check internal policy fit, KYC completeness, and regulatory readiness before approval.
2.  **Constraints & Data:**",heuristic,refer,low,"Thinking Process:

1.  **Analyze Role:** I am the Compliance Agent. My goal is to check internal policy fit, KYC completeness, and regulatory readiness before approval.
2.  **Constraints & Data:**",heuristic,round1,refer,low,"Thinking Process:

1.  **Analyze Role:** I am the Compliance Agent. My goal is to check internal policy fit, KYC completeness, and regulatory readiness before approval.
2.  **Constraints & Data:**",approve,"{""approve"": 10, ""refer"": 9, ""reject"": 2}",approve,"{""approve"": 1.114, ""refer"": 0.329, ""reject"": 0.6}",False,0.576,WeakModelAgent,True
B001,good,SummariserAgent,refer,low,"Thinking Process:

1.  **Analyze Role and Goal:** I am the Summariser Agent. My goal is to synthesize multi-agent findings into a crisp decision memo (Approve/Reject/Refer) based *only* on the provide",heuristic,reject,medium,"Thinking Process:

1.  **Analyze Role:** I am the Summariser Agent. My goal is to synthesize all multi-agent findings into a final, crisp decision memo (Approve/Reject/Refer).
2.  **Constraints Check:",heuristic,reject,medium,"Thinking Process:

1.  **Analyze Role:** I am the Summariser Agent. My goal is to synthesize all multi-agent findings into a final, crisp decision memo (Approve/Reject/Refer).
2.  **Constraints Check:",heuristic,round1,reject,medium,"Thinking Process:

1.  **Analyze Role:** I am the Summariser Agent. My goal is to synthesize all multi-agent findings into a final, crisp decision memo (Approve/Reject/Refer).
2.  **Constraints Check:",approve,"{""approve"": 10, ""refer"": 9, ""reject"": 2}",approve,"{""approve"": 1.114, ""refer"": 0.329, ""reject"": 0.6}",False,0.0,,True
B001,good,WeakModelAgent,refer,low,"Thinking Process: Weak Model Agent

1.  **Analyze Role and Goal:** I am the Weak Model Agent. My goal is to provide a lower-capability comparison view, exposing sycophancy/blind spots. I must act *EXA",heuristic,refer,low,"Thinking Process:

1.  **Analyze Role:** I am the Weak Model Agent. My goal is to provide a lower-capability comparison view that exposes sycophancy and blind spots, acting *EXACTLY* in this specialis",heuristic,refer,low,"Thinking Process:

1.  **Analyze Role:** I am the Weak Model Agent. My goal is to provide a lower-capability comparison view that exposes sycophancy and blind spots, acting *EXACTLY* in this specialis",heuristic,round1,refer,low,"Thinking Process:

1.  **Analyze Role:** I am the Weak Model Agent. My goal is to provide a lower-capability comparison view that exposes sycophancy and blind spots, acting *EXACTLY* in this specialis",approve,"{""approve"": 10, ""refer"": 9, ""reject"": 2}",approve,"{""approve"": 1.114, ""refer"": 0.329, ""reject"": 0.6}",False,0.0,,True
B002,bad,RouterManager,approve,high,one short sentence 3. **,repaired,approve,high,one short sentence 2. **Analyze the Raw Data/Context:** * Role: Router,repaired,approve,high,one short sentence 2. **Analyze the Raw Data/Context:** * Role: Router,repaired,round1,approve,high,one short sentence 2. **Analyze the Raw Data/Context:** * Role: Router,approve,"{""approve"": 12, ""refer"": 7, ""reject"": 2}",approve,"{""approve"": 1.143, ""refer"": 0.0, ""reject"": 0.629}",False,0.0,,True
B002,bad,IncomeAgent,approve,high,one short sentence 3. **Analyze the Raw Data/Context,repaired,approve,high,one short sentence 3. **Analyze the,repaired,approve,high,one short sentence 3. **Analyze the,repaired,round1,approve,high,one short sentence 3. **Analyze the,approve,"{""approve"": 12, ""refer"": 7, ""reject"": 2}",approve,"{""approve"": 1.143, ""refer"": 0.0, ""reject"": 0.629}",False,0.0,,True
B002,bad,FraudAgent,reject,medium,"Thinking Process:

1.  **Role Confirmation:** I am the Fraud Agent. My goal is to detect suspicious patterns, forged evidence, identity mismatch, or tampered records using *only* structured data.
2.",heuristic,reject,medium,"Thinking Process:

1.  **Analyze Role and Goal:** I am the Fraud Agent. My goal is to detect suspicious patterns, forged evidence, identity mismatch, or tampered records using *only* structured data (",heuristic,reject,medium,"Thinking Process:

1.  **Analyze Role and Goal:** I am the Fraud Agent. My goal is to detect suspicious patterns, forged evidence, identity mismatch, or tampered records using *only* structured data (",heuristic,round1,reject,medium,"Thinking Process:

1.  **Analyze Role and Goal:** I am the Fraud Agent. My goal is to detect suspicious patterns, forged evidence, identity mismatch, or tampered records using *only* structured data (",approve,"{""approve"": 12, ""refer"": 7, ""reject"": 2}",approve,"{""approve"": 1.143, ""refer"": 0.0, ""reject"": 0.629}",False,0.0,,True
