borrower_id,kaggle_truth_label,agent_name,routed_to_agent,pre_call_drift_score,aba_triggered,parsed_decision,confidence_flag,brief_reason
B001,good,RouterManager,ComplianceAgent,0.0,False,approve,high,"one short sentence. 3. **Analyze the Draft Content (The provided text is incomplete):** * The draft only provides the setup and partial data analysis (""Age: 67""). It does not"
B001,good,IncomeAgent,ComplianceAgent,0.0,False,unknown,unknown,Thinking Process: 1. **Analyze the Role and Context:** I am the IncomeAgent. The scenario is Week 4 Tuesday Scenario 3: Adaptive Behaviour Anchoring. My goal is to assess credit risk based *only* on the provided structur ...
B001,good,FraudAgent,ComplianceAgent,0.0,False,unknown,unknown,"Thinking Process: 1. **Analyze the Role and Context:** I am the FraudAgent. The scenario is ""Week 4 Tuesday Scenario 3: Adaptive Behaviour Anchoring."" My goal is to assess risk based *only* on the provided structured Ger ..."
B001,good,CreditAgent,ComplianceAgent,0.0,False,approve,high,one short sentence. 3. **Analyze the Draft Content (The provided draft is incomplete):** The draft stops abruptly after listing the borrower'
B001,good,ComplianceAgent,ComplianceAgent,0.0,False,approve,unknown,"Thinking Process: 1. **Analyze the Request:** The goal is to act as a ComplianceAgent and make a lending decision (Approve, Reject, or Refer) based *only* on the provided structured German Credit dataset fields for Borro ..."
B001,good,SummariserAgent,ComplianceAgent,0.0,False,approve,unknown,Thinking Process: 1. **Analyze the Request:** The goal is to act as a SummariserAgent and make a credit decision (Approve/Reject/Refer) based *only* on the provided structured German Credit dataset fields for Borrower ID ...
B001,good,WeakModelAgent,ComplianceAgent,0.0,False,unknown,high,Thinking Process: 1. **Identify Role and Goal:** I am the WeakModelAgent. My goal is to assess a credit application using only the provided structured German Credit dataset fields for Borrower ID B001. 2. **Analyze Const ...
B002,bad,RouterManager,ComplianceAgent,0.0,False,approve,low,"Thinking Process: 1. **Identify Role and Goal:** I am the RouterManager. My goal is to make a credit decision (Approve/Reject/Refer) based on limited structured data from the German Credit dataset, following adaptive beh ..."
B002,bad,IncomeAgent,ComplianceAgent,0.0,False,unknown,medium,"Thinking Process: 1. **Analyze the Role and Context:** I am the IncomeAgent. My task is to assess credit risk for Borrower B002 using only the provided structured German Credit dataset fields. The scenario emphasizes ""Ad ..."
B002,bad,FraudAgent,ComplianceAgent,0.0,False,unknown,medium,"Thinking Process: 1. **Analyze the Role and Context:** I am the FraudAgent. My task is to assess credit risk for Borrower B002 using only the provided structured German Credit dataset fields. The scenario emphasizes ""Ada ..."
