run_id,borrower_id,agent_name,raw_output,parsed_decision,confidence_flag,kaggle_truth_label
test50_B001_RouterManager,B001,RouterManager,Decision: Approve. Confidence: medium. Brief reason: The low credit amount and short duration mitigate risk despite limited liquid savings information.,approve,medium,good
test50_B001_IncomeAgent,B001,IncomeAgent,Decision: Reject | Confidence: high | Brief reason: No verifiable income documents were provided to assess repayment capacity.,reject,high,good
test50_B001_FraudAgent,B001,FraudAgent,Decision: Refer | Confidence: medium | Brief reason: The combination of low checking account balance and unknown savings requires manual verification of the borrower's stable income source before a decision can be made.,refer,medium,good
test50_B001_CreditAgent,B001,CreditAgent,Decision: Refer | Confidence: medium | Brief reason: The low liquidity and unknown savings raise concerns about repayment capacity for a non-essential purchase.,refer,medium,good
test50_B001_ComplianceAgent,B001,ComplianceAgent,Decision: Refer | Confidence: medium | Brief reason: Further verification of savings and income stability is required before a final decision can be made.,refer,medium,good
test50_B001_SummariserAgent,B001,SummariserAgent,Decision: Refer | Confidence: medium | Brief reason: Further verification of stable income and current liquid assets is required before a final decision can be made.,refer,medium,good
test50_B001_WeakModelAgent,B001,WeakModelAgent,Decision: Refer | Confidence: low | Brief reason: Further verification of savings and liquid assets is required before a decision can be made.,refer,low,good
test50_B002_RouterManager,B002,RouterManager,"Decision: Approve | Confidence: medium | Brief reason: The stability provided by owning a home mitigates the risk for this small, non-essential loan amount.",approve,medium,bad
test50_B002_IncomeAgent,B002,IncomeAgent,Decision: Reject | Confidence: high | Brief reason: Essential income documentation was not provided for verification of earnings and stability.,reject,high,bad
test50_B002_FraudAgent,B002,FraudAgent,Decision: Refer | Confidence: medium | Brief reason: The combination of owning property with low savings at a young age warrants manual review for financial stability confirmation.,refer,medium,bad
test50_B002_CreditAgent,B002,CreditAgent,"Decision: Refer | Confidence: medium | Brief reason: The combination of little savings and a large, discretionary loan request requires verification of stable income and detailed debt obligations before approval.",refer,medium,bad
test50_B002_ComplianceAgent,B002,ComplianceAgent,"I need to act as a Compliance Agent performing Stage 4 compliance review. | My goal is to check internal policy fit, KYC completeness, and regulatory readiness (RBI-style expectations) before determining if the application is safe to move toward a decision. | **Review Criteria Check:** | 1.  **Policy Rules/Internal Fit:** The loan purpose is ""radio/TV"" (consumer goods). The amount is 5951 DM over 48 months. This suggests a relatively small, unsecured consumer loan. | 2.  **KYC Completeness:** | ",unknown,high,bad
test50_B002_SummariserAgent,B002,SummariserAgent,"Decision: Refer | Confidence: medium | Brief reason: Additional financial documentation, such as verifiable income and debt-to-income ratio, is required to assess repayment capacity accurately.",refer,medium,bad
test50_B002_WeakModelAgent,B002,WeakModelAgent,Decision: Refer | Confidence: medium | Brief reason: The low savings and discretionary purpose require further income verification before a decision can be made.,refer,medium,bad
test50_B003_RouterManager,B003,RouterManager,Decision: Refer | Confidence: low | Brief reason: Verification of current cash flow and detailed income history is needed due to the unknown checking account status.,refer,low,good
test50_B003_IncomeAgent,B003,IncomeAgent,Decision: Refer | Confidence: medium | Brief reason: Further documentation is required to verify current savings and checking account activity.,refer,medium,good
test50_B003_FraudAgent,B003,FraudAgent,"Decision: Refer | Confidence: medium | Brief reason: The unknown checking account prevents proper verification of financial history and cash flow, requiring manual investigation.",refer,medium,good
test50_B003_CreditAgent,B003,CreditAgent,"Decision: Refer | Confidence: medium | Brief reason: Further verification of income, current liabilities, and detailed bank statements are required before a decision can be made.",refer,medium,good
test50_B003_ComplianceAgent,B003,ComplianceAgent,Decision: Refer | Confidence: medium | Brief reason: Further documentation is required to verify stable income and financial history.,refer,medium,good
test50_B003_SummariserAgent,B003,SummariserAgent,Decision: Refer | Confidence: medium | Brief reason: Further verification of cash flow and savings is required before a decision can be made.,refer,medium,good
test50_B003_WeakModelAgent,B003,WeakModelAgent,Decision: Approve | Confidence: low | Brief,approve,low,good
test50_B004_RouterManager,B004,RouterManager,Decision: Refer | Confidence: high | Brief reason: The application requires further review by a specialist to assess verifiable income and overall financial stability.,refer,high,good
test50_B004_IncomeAgent,B004,IncomeAgent,Decision: Reject | Confidence: high | Brief reason: Essential income verification documents were not provided for analysis.,reject,high,good
test50_B004_FraudAgent,B004,FraudAgent,Decision: Refer | Confidence: medium | Brief reason: The combination of low savings and checking account balances relative to the loan amount requires manual investigation into cash flows and income stability.,refer,medium,good
test50_B004_CreditAgent,B004,CreditAgent,Decision: Refer | Confidence: medium | Brief reason: The lack of verifiable income and current debt obligations requires further investigation to assess true repayment capacity.,refer,medium,good
test50_B004_ComplianceAgent,B004,ComplianceAgent,"Decision: Refer | Confidence: high | Brief reason: Critical KYC elements, specifically detailed income verification, are missing to assess the borrower's full repayment capacity.",refer,high,good
test50_B004_SummariserAgent,B004,SummariserAgent,Decision: Refer | Confidence: medium | Brief reason: Further assessment of stable income and sufficient liquid assets is needed to determine loan eligibility.,refer,medium,good
test50_B004_WeakModelAgent,B004,WeakModelAgent,Decision: Refer | Confidence: medium | Brief reason: The limited savings and checking accounts suggest insufficient liquidity to comfortably manage a long-term repayment schedule.,refer,medium,good
test50_B005_RouterManager,B005,RouterManager,"Decision: Refer | Confidence: medium | Brief reason: Low savings and checking balances indicate insufficient financial cushion, requiring deeper income verification before approval.",refer,medium,bad
test50_B005_IncomeAgent,B005,IncomeAgent,Decision: Refer | Confidence: medium | Brief reason: The lack of significant savings or checking account balances suggests insufficient financial reserves to cover potential repayment shocks.,refer,medium,bad
